sample_id,population_abbreviation,project,coverage_hifi,deepconsensus_coverage_hifi,coverage_mm_hifi,production,n50_hifi,coverage_hic,coverage_ill,total_reads_kinnex,coverage_ont,coverage_100kb_ont,coverage_100kb_R1041,coverage_100kb_R941,sequencing_chemistry_ont,read_N50_ont,meth_wg_cov
HG00706,CHS,HPRC,61.10,0.00,61.10,RU_Y2_HIFI,18318.18,168.40,36.79,18556044.00,72.21,22.83,0.00,22.83,R941,72294.99,61.10
HG00733,PUR,HPRC_PLUS,66.10,0.00,0.00,HG00733_T2T_UW_HiFi_ONT,20547.11,64.18,34.03,,58.40,4.83,0.00,4.83,R941,33559.44,66.10
HG00735,PUR,HPRC,52.77,52.77,0.00,WUSTL_HPRC_HiFi_Year1,22326.38,82.70,35.09,12198590.00,66.34,21.90,0.00,21.90,R941,72900.73,45.10
HG00738,PUR,HPRC,68.56,38.06,64.50,WUSTL_HPRC_HiFi_Year2_TopUp,20600.24,93.25,37.06,12066735.00,78.37,26.70,0.00,26.70,R941,76370.06,64.50
HG00741,PUR,HPRC,62.25,47.85,14.40,WUSTL_HPRC_HiFi_Year1_TopUp,24331.22,77.64,37.40,10179524.00,81.66,31.21,0.00,31.21,R941,79821.65,54.80
HG01071,PUR,HPRC,90.69,74.09,16.60,WUSTL_HPRC_HiFi_Year1_TopUp,25867.53,77.84,37.31,14816998.00,133.49,47.62,0.00,47.62,R941,75864.90,53.80
HG01074,PUR,HPRC,64.16,46.36,58.20,UW_HPRC_HiFi_Y3,19801.98,33.32,35.95,11352094.00,77.21,35.01,0.00,35.01,R941,91169.40,46.90
HG01081,PUR,HPRC,60.69,42.29,53.20,UW_HPRC_HiFi_Y3,20738.57,110.24,37.06,18138156.00,100.68,40.40,0.00,40.40,R941,81889.73,53.20
HG01099,PUR,HPRC,64.28,38.28,58.70,WUSTL_HPRC_HiFi_Year2_TopUp,19847.56,195.26,39.71,13316490.00,69.54,22.89,0.00,22.89,R941,75241.87,58.70
HG01106,PUR,HPRC,56.29,56.29,0.00,WUSTL_HPRC_HiFi_Year1,22164.27,73.46,36.86,15876215.00,70.88,24.34,0.00,24.34,R941,73431.31,48.90
HG01109,PUR,HPRC_PLUS,41.38,41.38,0.00,HPRC_DEEPCONSENSUS_v1pt2_2023_12_q20,21290.70,23.75,34.91,,157.10,28.28,0.00,28.28,R941,61143.85,33.80
HG01123,CLM,HPRC,71.94,45.64,26.30,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,17308.16,62.31,79.60,19883662.00,59.85,23.42,0.00,23.42,R941,80208.80,66.30
HG01150,CLM,HPRC,59.50,41.10,55.10,RU_Y3,19523.85,46.40,37.93,16993721.00,84.22,37.33,0.00,37.33,R941,89205.09,55.10
HG01167,PUR,HPRC,62.50,0.00,62.50,RU_Y4,20552.38,60.20,50.27,16985450.00,66.67,33.32,33.32,0.00,R1041,99964.92,62.50
HG01175,PUR,HPRC,62.31,45.91,16.40,WUSTL_HPRC_HiFi_Year1_TopUp,22059.62,78.08,34.96,16272903.00,76.05,27.79,0.00,27.79,R941,76646.10,54.30
HG01192,PUR,HPRC,68.97,44.37,60.10,WUSTL_HPRC_HiFi_Year3,20097.97,147.28,33.85,15775380.00,49.87,23.72,0.00,23.72,R941,95340.31,60.10
HG01243,PUR,HPRC_PLUS,42.18,42.18,0.00,HPRC_DEEPCONSENSUS_v1pt2_2023_12_q20,19613.43,29.91,32.67,,48.56,5.72,0.00,5.72,R941,47274.63,90.00
HG01252,CLM,HPRC,58.20,41.50,54.20,RU_Y3,19961.44,88.60,37.50,16171830.00,47.53,17.45,0.00,17.45,R941,79582.58,54.20
HG01255,CLM,HPRC,70.23,35.73,67.00,WUSTL_HPRC_HiFi_Year2_TopUp,21360.23,102.30,37.61,15967591.00,77.65,26.51,0.00,26.51,R941,76393.74,67.00
HG01258,CLM,HPRC,59.04,42.84,16.20,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,20406.09,73.88,37.17,17467823.00,49.44,24.00,0.00,24.00,R941,97268.06,53.40
HG01261,CLM,HPRC,68.83,42.83,61.10,WUSTL_HPRC_HiFi_Year3,20079.22,102.12,37.13,16569458.00,66.39,19.91,0.00,19.91,R941,70317.03,61.10
HG01346,CLM,HPRC,67.62,46.02,62.60,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,18567.15,77.82,36.92,20299109.00,72.65,23.48,0.00,23.48,R941,72523.31,62.60
HG01358,CLM,HPRC,60.10,45.10,15.00,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,19343.75,63.00,38.25,15130112.00,48.20,18.97,0.00,18.97,R941,82256.06,54.30
HG01361,CLM,HPRC,120.08,82.08,38.00,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,19736.57,54.46,38.14,16959564.00,140.46,55.88,0.00,55.88,R941,81919.48,81.50
HG01433,CLM,HPRC,68.04,41.14,63.20,WUSTL_HPRC_HiFi_Year2_TopUp,20876.95,127.12,38.77,19428777.00,81.00,19.89,0.00,19.89,R941,67117.81,63.20
HG01496,CLM,HPRC,63.09,38.69,57.70,WUSTL_HPRC_HiFi_Year2_TopUp,21805.56,72.64,34.29,18989268.00,81.11,30.93,0.00,30.93,R941,80465.53,57.70
HG01530,IBS,HPRC,60.47,49.87,54.70,RU_Y3,18377.70,165.43,35.42,18941197.00,54.09,20.59,0.00,20.59,R941,76679.14,54.70
HG01784,IBS,HPRC,67.04,46.04,59.90,RU_Y3,22071.08,33.80,35.17,21049068.00,70.97,25.10,0.00,25.10,R941,73260.57,59.90
HG01786,IBS,HPRC,73.60,0.00,73.60,WUSTL_HPRC_HiFi_Year4,18229.17,44.68,57.26,16075474.00,79.92,23.47,23.47,0.00,R1041,67975.45,73.60
HG01884,ACB,HPRC,60.52,38.92,55.40,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,17842.18,180.82,37.73,17230581.00,54.33,19.83,0.00,19.83,R941,78549.26,55.40
HG01891,ACB,HPRC,64.79,43.59,21.20,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,17255.98,48.52,36.83,18896124.00,68.05,29.02,0.00,29.02,R941,86185.64,59.70
HG01928,PEL,HPRC,90.64,70.54,20.10,WUSTL_HPRC_HiFi_Year1_TopUp,23480.72,81.36,38.32,14422258.00,104.21,50.12,0.00,50.12,R941,97075.51,56.90
HG01934,PEL,HPRC,78.23,37.33,73.10,WUSTL_HPRC_HiFi_Year2_TopUp,21996.70,161.12,39.22,19800834.00,75.60,33.63,0.00,33.63,R941,90813.34,73.10
HG01940,PEL,HPRC,57.96,39.46,54.30,RU_Y3,19213.25,26.14,37.31,22363243.00,75.45,32.25,0.00,32.25,R941,86619.49,54.30
HG01943,PEL,HPRC,66.98,34.98,63.80,WUSTL_HPRC_HiFi_Year2_TopUp,19140.59,124.78,35.67,19708108.00,62.64,19.38,0.00,19.38,R941,69312.28,63.80
HG01952,PEL,HPRC,58.81,49.61,9.20,WUSTL_HPRC_HiFi_Year1_TopUp,21456.33,70.28,36.69,15467960.00,72.86,23.73,0.00,23.73,R941,70759.19,52.20
HG01960,ACB,HPRC,57.42,40.82,53.20,RU_Y3,18757.88,36.92,39.06,14552038.00,49.10,16.18,0.00,16.18,R941,74963.39,53.20
HG01969,PEL,HPRC,58.77,39.37,54.70,RU_Y3,21050.36,95.94,37.98,12005365.00,60.22,26.74,0.00,26.74,R941,89514.68,54.70
HG01975,PEL,HPRC,65.00,41.30,58.80,WUSTL_HPRC_HiFi_Year3,18937.41,51.08,38.54,19380665.00,78.43,29.29,0.00,29.29,R941,79061.91,58.80
HG01978,PEL,HPRC,87.10,78.70,8.40,WUSTL_HPRC_HiFi_Year1_TopUp,25937.07,103.48,40.31,15304930.00,109.02,43.37,0.00,43.37,R941,83965.15,48.60
HG01981,PEL,HPRC,63.08,38.78,58.30,WUSTL_HPRC_HiFi_Year2_TopUp,21539.98,207.78,36.75,21593908.00,62.57,17.76,0.00,17.76,R941,66042.64,58.30
HG01993,PEL,HPRC,72.01,38.71,67.30,WUSTL_HPRC_HiFi_Year2_TopUp,21057.86,85.12,36.57,16580497.00,95.12,37.03,0.00,37.03,R941,82276.45,67.30
HG02004,PEL,HPRC,64.40,42.50,59.40,WUSTL_HPRC_HiFi_Year2_TopUp,19230.14,92.44,37.26,16359794.00,84.43,37.02,0.00,37.02,R941,88972.87,59.40
HG02015,KHV,HPRC,57.51,40.61,72.10,WUSTL_HPRC_HiFi_Year3,18569.69,17.98,38.15,17165724.00,33.86,17.21,0.00,17.21,R941,101545.58,72.10
HG02027,KHV,HPRC,67.64,49.54,60.90,WUSTL_HPRC_HiFi_Year2_TopUp,19235.44,128.48,37.43,11741740.00,60.12,16.27,0.00,16.27,R941,61857.29,60.90
HG02040,KHV,HPRC,64.47,49.37,57.00,UW_HPRC_HiFi_Y3,21014.23,49.16,36.62,22714843.00,82.66,34.24,0.00,34.24,R941,84544.20,57.00
HG02055,ACB,HPRC_PLUS,83.45,48.55,34.90,HPRC_REVIO_EA_2023,17778.89,31.95,34.70,,228.17,82.05,0.00,82.05,R941,83276.78,75.30
HG02056,KHV,HPRC,65.52,44.72,57.60,WUSTL_HPRC_HiFi_Year3,19867.90,49.28,35.74,17893845.00,48.70,19.48,0.00,19.48,R941,83597.15,57.60
HG02071,KHV,HPRC,62.62,38.02,56.80,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,18686.00,152.99,38.53,14820699.00,78.80,20.82,0.00,20.82,R941,67760.91,56.80
HG02074,KHV,HPRC,73.36,37.66,67.20,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,19023.57,31.48,46.03,11602048.00,78.85,18.66,0.00,18.66,R941,62661.12,67.20
HG02080,KHV,HPRC_PLUS,63.06,40.46,22.60,NISC_HiFi_TopUp_2022_with_5mC,22330.49,31.78,35.00,,147.09,46.33,0.00,46.33,R941,78885.58,22.60
HG02083,KHV,HPRC,64.96,47.56,61.00,WUSTL_HPRC_HiFi_Year2_TopUp,19944.32,95.34,36.95,14282557.00,76.73,26.85,0.00,26.85,R941,75469.90,61.00
