sample_id,haplotype,assembly_name,location
HG01243,1,HG01243_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG01243/local_ancestry/bed/HG01243_pat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG01243,2,HG01243_mat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG01243/local_ancestry/bed/HG01243_mat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG01252,1,HG01252_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG01252/local_ancestry/bed/HG01252_pat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG01252,2,HG01252_mat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG01252/local_ancestry/bed/HG01252_mat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG01255,1,HG01255_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG01255/local_ancestry/bed/HG01255_pat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG01255,2,HG01255_mat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG01255/local_ancestry/bed/HG01255_mat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG01258,1,HG01258_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG01258/local_ancestry/bed/HG01258_pat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG01258,2,HG01258_mat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG01258/local_ancestry/bed/HG01258_mat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG01261,1,HG01261_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG01261/local_ancestry/bed/HG01261_pat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG01261,2,HG01261_mat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG01261/local_ancestry/bed/HG01261_mat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
