sample_id,haplotype,assembly_name,browser
HG02004,2,HG02004_mat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042027105.1
HG02027,2,HG02027_mat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042030185.1
HG02083,2,HG02083_mat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042030175.1
HG02132,2,HG02132_mat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042029645.1
HG02280,2,HG02280_mat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042026465.1
HG02293,2,HG02293_mat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042026455.1
HG02300,2,HG02300_mat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042027635.1
HG02451,2,HG02451_mat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042026475.1
HG02523,2,HG02523_mat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042029905.1
HG02615,2,HG02615_mat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042028975.1
HG02647,2,HG02647_mat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042028065.1
HG02698,2,HG02698_mat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042029495.1
HG03654,2,HG03654_mat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042029535.1
HG03669,2,HG03669_mat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042028875.1
